DATE,CPI,RATE
1995-01-31,150.5,7.6
1995-02-28,150.9,7.22
1995-03-31,151.2,7.2
1995-04-30,151.8,7.07
1995-05-31,152.1,6.3
1995-06-30,152.4,6.21
1995-07-31,152.6,6.45
1995-08-31,152.9,6.28
1995-09-30,153.1,6.17
1995-10-31,153.5,6.03
1995-11-30,153.7,5.76
1995-12-31,153.9,5.58
1996-01-31,154.7,5.6
1996-02-29,155.0,6.13
1996-03-31,155.5,6.34
1996-04-30,156.1,6.66
1996-05-31,156.4,6.85
1996-06-30,156.7,6.73
1996-07-31,157.0,6.8
1996-08-31,157.2,6.96
1996-09-30,157.7,6.72
1996-10-31,158.2,6.37
1996-11-30,158.7,6.06
1996-12-31,159.1,6.43
1997-01-31,159.4,6.53
1997-02-28,159.7,6.56
1997-03-31,159.8,6.92
1997-04-30,159.9,6.72
1997-05-31,159.9,6.67
1997-06-30,160.2,6.51
1997-07-31,160.4,6.02
1997-08-31,160.8,6.34
1997-09-30,161.2,6.12
1997-10-31,161.5,5.84
1997-11-30,161.7,5.86
1997-12-31,161.8,5.75
1998-01-31,162.0,5.53
1998-02-28,162.0,5.62
1998-03-31,162.0,5.67
1998-04-30,162.2,5.68
1998-05-31,162.6,5.56
1998-06-30,162.8,5.44
1998-07-31,163.2,5.5
1998-08-31,163.4,5.05
1998-09-30,163.5,4.44
1998-10-31,163.9,4.64
1998-11-30,164.1,4.74
1998-12-31,164.4,4.65
1999-01-31,164.7,4.66
1999-02-28,164.7,5.29
1999-03-31,164.8,5.25
1999-04-30,165.9,5.36
1999-05-31,166.0,5.64
1999-06-30,166.0,5.81
1999-07-31,166.7,5.92
1999-08-31,167.1,5.98
1999-09-30,167.8,5.9
1999-10-31,168.1,6.02
1999-11-30,168.4,6.18
1999-12-31,168.8,6.45
2000-01-31,169.3,6.68
2000-02-29,170.0,6.42
2000-03-31,171.0,6.03
2000-04-30,170.9,6.23
2000-05-31,171.2,6.29
2000-06-30,172.2,6.03
2000-07-31,172.7,6.04
2000-08-31,172.7,5.73
2000-09-30,173.6,5.8
2000-10-31,173.9,5.77
2000-11-30,174.2,5.48
2000-12-31,174.6,5.12
2001-01-31,175.6,5.19
2001-02-28,176.0,4.92
2001-03-31,176.1,4.93
2001-04-30,176.4,5.35
2001-05-31,177.3,5.43
2001-06-30,177.7,5.42
2001-07-31,177.4,5.07
2001-08-31,177.4,4.85
2001-09-30,178.1,4.6
2001-10-31,177.6,4.3
2001-11-30,177.5,4.78
2001-12-31,177.4,5.07
2002-01-31,177.7,5.07
2002-02-28,178.0,4.88
2002-03-31,178.5,5.42
2002-04-30,179.3,5.11
2002-05-31,179.5,5.08
2002-06-30,179.6,4.86
2002-07-31,180.0,4.51
2002-08-31,180.5,4.14
2002-09-30,180.8,3.63
2002-10-31,181.2,3.93
2002-11-30,181.5,4.22
2002-12-31,181.8,3.83
2003-01-31,182.6,4.0
2003-02-28,183.6,3.71
2003-03-31,183.9,3.83
2003-04-30,183.2,3.89
2003-05-31,182.9,3.37
2003-06-30,183.1,3.54
2003-07-31,183.7,4.49
2003-08-31,184.5,4.45
2003-09-30,185.1,3.96
2003-10-31,184.9,4.33
2003-11-30,185.0,4.34
2003-12-31,185.5,4.27
2004-01-31,186.3,4.16
2004-02-29,186.7,3.99
2004-03-31,187.1,3.86
2004-04-30,187.4,4.53
2004-05-31,188.2,4.66
2004-06-30,188.9,4.62
2004-07-31,189.1,4.5
2004-08-31,189.2,4.13
2004-09-30,189.8,4.14
2004-10-31,190.8,4.05
2004-11-30,191.7,4.36
2004-12-31,191.7,4.24
2005-01-31,191.6,4.14
2005-02-28,192.4,4.36
2005-03-31,193.1,4.5
2005-04-30,193.7,4.21
2005-05-31,193.6,4.0
2005-06-30,193.7,3.94
2005-07-31,194.9,4.28
2005-08-31,196.1,4.02
2005-09-30,198.8,4.34
2005-10-31,199.1,4.57
2005-11-30,198.1,4.49
2005-12-31,198.1,4.39
2006-01-31,199.3,4.53
2006-02-28,199.4,4.55
2006-03-31,199.7,4.86
2006-04-30,200.7,5.07
2006-05-31,201.3,5.12
2006-06-30,201.8,5.15
2006-07-31,202.9,4.99
2006-08-31,203.8,4.74
2006-09-30,202.8,4.64
2006-10-31,201.9,4.61
